Trial Id,Protocol #,fmt_Protocol#,Legacy Protocol ID,Product Name,Full Title,Short Title,Protocol Phase ,Protocol Status,Indication,Therapeutic Area,Operational TA,Registry,Pediatric / Non-Pediatric,Study Type,Study Design: Primary Purpose (Interventional),Study Design: Time Perspective (Observational),Study Design: Study Model (Observational),Planned Enrollment,Actual Enrollment,Actual Screened,Actual Rescreened,Actual Screen Failure,Actual Randomized / Dosed,Actual Early Terminated,% Enrollment Completed,Planned Sites,Active Sites,Legacy Company,CRO,COM/CPOM,Primary Contact,Medical Monitor,COPL/POOL,Study Site Engagement,EudraCT#,Expanded Access Availability / Status,Human Subjects Protection Review Board Status,Study Imposed by EMA Flag,Device/Product Not Approved or Cleared by US FDA,Wave,Prioritization,Tier Category,Source CTMS,Planned Primary Study Completion Date,Actual Primary Study Completion Date,Synopsis Planned Date,Synopsis Actual Date,Protocol Planned Date,Protocol Actual Date,First Site Activated Planned Date,First Site Activated Actual Date,FSS Planned Date,FSS Actual Date,FSI Planned Date,FSI Actual Date,FSFV Planned Date,FSFV Actual Date,LSI Planned Date,LSI Actual Date,LSI Avg Tx  Planned Date,LSI Avg Tx Actual Date,LSO Planned Date,LSO Actual Date,LSO 2 Planned Date,LSO 2 Actual Date,LSO 3 Planned Date,LSO 3 Actual Date,LSO 4 Planned Date,LSO 4 Actual Date,LSO Final Planned Date,LSO Final Actual Date,LSLV Planned Date,LSLV Actual Date,DBL Planned Date,DBL Actual Date,DBL 2  Planned Date,DBL 2 Actual Date,DBL 3 Planned Date,DBL 3  Actual Date,DBL 4 Planned Date,DBL 4 Actual Date,DBL Final Planned Date,DBL Final Actual Date,KA/Flash Planned Date,KA/Flash Actual Date,KA 2 10601 Planned Date,KA 2 Actual Date,KA 3 Planned Date,KA 3 Actual Date,KA 4  Planned Date,KA 4 Actual Date,KA Final  Planned Date,KA Final Actual Date,Topline Planned Date,Topline Actual Date,TFL Planned Date,TFL Actual Date,TLF Planned Date,TLF Actual Date,TLF 2 Planned Date,TLF 2 Actual Date,TLF 3 Planned Date,TLF 3 Actual Date,TLF 4 Planned Date,TLF 4 Actual Date,TLF Final Planned Date,TLF Final Actual Date,CSR Planned Date,CSR Actual Date,CSR 2  Planned Date,CSR 2  Actual Date,CSR 3  Planned Date,CSR 3 Actual Date,CSR 4 Planned Date,CSR 4 Actual Date,CSR Final Planned Date,CSR Final Actual Date,OA 1 Planned Date,OA 1 Actual Date,OA 2 Planned Date,OA 2 Actual Date,OA 3 Planned Date,OA 3 Actual Date,Trial Summary Planned Date,Trial Summary Actual Date,Oversight Needs Assessment Planned Date,Oversight Needs Assessment Actual Date,CDO Quality Risk Assessment Planned Date,CDO Quality Risk Assessment Actual Date,Primary Planned Date,Primary Actual Date
1-1ASDLD,TAK-071-1002,'TAK-071-1002,,TAK-071,"A Randomized, Double-Blind, Sponsor Unblinded, Placebo-Controlled, 5-Period Crossover Phase 1b Study To Evaluate The Effects Of Single Oral Administration of TAK-071 On Scopolamine-Induced Cognitive Impairment In Healthy Subjects",POM Scopolamine-induced Cognitive Impairment TAK-0,I,Terminated,(PD) Parkinson's disease,NS,,,,,,,,46,18,183,,165,,12,39.13%,1,1,,PPD,,"Abi Tepede, Betty Katz",,Arthur Simen,,,,,,,Wave 2,De-Risk,,Medidata CTMS (Pharma),,,5/31/2016,5/31/2016,8/8/2016,8/8/2016,,,11/21/2016,11/21/2016,12/5/2016,12/5/2016,,,6/19/2017,6/19/2017,,,8/8/2017,8/8/2017,,,,,,,,,,,5/24/2018,5/24/2018,,,,,,,,,5/31/2018,5/31/2018,,,,,,,,,,,,,7/2/2018,7/2/2018,,,,,,,,,9/6/2018,9/6/2018,,,,,,,,,,,,,,,9/6/2018,9/6/2018,,,,,,
1-1ASDLN,TAK-828-1002,'TAK-828-1002,,TAK-828,"A Randomized, Double-Blind (Sponsor-Open), Placebo-Controlled, Phase 1 Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of Escalating Multiple Doses of TAK 828 in Healthy Subjects",Phase 1 MRD,I,Closed,Other,GI,,,,MRD,,,,56,24,93,,69,,9,42.86%,2,,,PPD,Hafizur Choudhury,,,,,,,,,,,,,STARS Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1BCWTX,TBD-1-1BCWTX,'TBD-1-1BCWTX,,,Single Rising Dose (Healthy and Overweight/Obese)),Single Rising Dose,I,Cancelled,Other,,,,,,,,,56,0,0,,0,,0,0.00%,1,,,,,,,,,,,,,,,,,STARS Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1BCWUE,TBD-1-1BCWUE,'TBD-1-1BCWUE,,,Phase 1b combination-NSCLC (15pts) (Japan and Asia),,IB,Cancelled,Other,,,,,,,,,15,0,0,,0,,0,0.00%,1,,,,,,,,,,,,,,,,,STARS Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1BCWUI,TBD-1-1BCWUI,'TBD-1-1BCWUI,,TAK-659,Phase 2 Single Agent Indolent Lymphoma (200 pts),P2 NHL R/R indica2-200pts,II,Cancelled,Heme.Other,Oncology,,,,,,,,200,0,0,,0,,0,0.00%,1,,,,,,,,,,,,,,,,,STARS Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1BCWUX,TBD-1-1BCWUX,'TBD-1-1BCWUX,,,Phase 1b combination- CRC (15pts) (Japan and Asia),,IB,Cancelled,Other,,,,,,,,,15,0,0,,0,,0,0.00%,1,,,,,,,,,,,,,,,,,STARS Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1BCWVB,TBD-1-1BCWVB,'TBD-1-1BCWVB,,TAK-659,Phase 2/3 Solid Tumor Nivo Combo  (300 pts),P2/3 Immuno-Onc (300 pts),II/III,Cancelled,Heme.Other,Oncology,,,,,,,,300,0,0,,0,,0,0.00%,1,,,,,,,,,,,,,,,,,STARS Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1BKVJT,C16014  Korea Continuation,'C16014  Korea Continuation,,Ninlaro,"South Korea Continuation Study - A Phase 3, Randomized, Double-Blind, Multicenter Study Comparing Oral MLN9708 Plus Lenalidomide and Dexamethasone Versus Placebo Plus Lenalidomide and Dexamethasone in Adult Patients With Newly Diagnosed Multiple Myeloma",C16014  Korea Continuation,III,Recruitment Complete,(NDMM) Newly diagnosed multiple myeloma (9Rd),Oncology,Late Oncology,,,,,,,40,41,60,,19,,8,102.50%,11,,,PPD,,"Ai Meng Tan, Lee williams, Fuquan, Kenneth Chen",,Hongmei Li,,,,,,,,,,Medidata CTMS (Pharma),,,,,9/9/2015,9/9/2015,,,,,6/1/2016,6/1/2016,,,4/5/2017,4/5/2017,7/30/2019,7/30/2019,12/2/2019,12/2/2019,,,,,,,5/11/2022,,,,1/22/2020,1/22/2020,,,,,,,,,2/28/2020,2/28/2020,,,,,,,,,,,,,3/26/2020,3/26/2020,,,,,,,,,8/31/2020,8/31/2020,,,,,,,,,,,,,,,5/11/2022,,,,,,,
1-1BKVMB,TBD-1-1BKVMB,'TBD-1-1BKVMB,,TAK-117,Phase 1b Gastric JNA PK/Safety MLN1117 Combo with Paclitaxel,,I,Cancelled,Other,Oncology,,,,,,,,12,0,0,,0,,0,0.00%,1,,,,,,,,,,,,,,,,,STARS Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1BKVML,C34007,'C34007,,TAK-659,C34007 Phase 1 Asian Lymphoma single agent  (40 pts),C34007 Ph1 Asian,I,Recruitment Complete,(NHL) Non-Hodgkin's lymphoma,Oncology,Early Oncology,,,,,,,22,17,0,,6,11,0,77.27%,5,,,IQVIA,,Sakiko Kaizuka,,,,,,,,,,,,Medidata CTMS (Pharma),,,9/22/2016,9/22/2016,3/21/2017,3/21/2017,,,,,9/7/2017,9/7/2017,,,9/25/2019,9/25/2019,8/17/2020,8/17/2020,8/17/2020,8/17/2020,,,,,,,,,,,10/15/2020,10/15/2020,,,,,,,,,10/22/2020,10/22/2020,,,,,,,,,,,,,11/27/2020,11/27/2020,,,,,,,,,5/10/2021,5/10/2021,,,,,,,,,,,,,,,5/10/2021,5/10/2021,,,,,,
1-1BKVN6,TBD-1-1BKVN6,'TBD-1-1BKVN6,,TAK-117,Phase 1b Gastric JNA PK/Safety MLN1117 Combo with TAK-659,,I,Cancelled,Solid.GI.Gastric,Oncology,,,,,,,,12,0,0,,0,,0,0.00%,1,,,,,,,,,,,,,,,,,STARS Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
