,ProtocolNum,ProtocolPhase,TA,PlannedEnrollment,ActualEnrollment,ActualRandomizedDosed,ActualEarlyTerminated,PercEnrollmentCompleted,PlannedSites,ActiveSites,CRO,LSO_ActualDate,DBL_ActualDate,CloseOut,numValsLSO,numValsDBL,PrimaryStudy_to_Synopsis,Synopsis_to_Protocol,FSS_to_FSI,LSI_to_LSO,AE,CM,DS,DV,EG,EX,FA,LB,MH,PR,SS,VS,Lock_duration,CloseOut_new
0,TAK-071-1002,I,NS,46,18,0.0,12.0,39.13%,1.0,1.0,PPD,2017-08-08,2018-05-24,289,5,5,,69.0,14.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289
1,C16014  Korea Continuation,III,Oncology,40,41,0.0,8.0,102.50%,11.0,0.0,PPD,2019-12-02,2020-01-22,51,5,5,,,,971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51
2,C34007,I,Oncology,22,17,11.0,0.0,77.27%,5.0,0.0,IQVIA,2020-08-17,2020-11-25,59,5,5,,180.0,,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,100
3,TAK-438_115,I,GI,30,30,0.0,0.0,100.00%,1.0,0.0,IQVIA,2017-05-11,2017-05-17,6,5,5,,1061.0,16.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
4,TAK-438_302,III,GI,830,236,1.0,0.0,28.43%,68.0,0.0,IQVIA,2020-03-17,2020-07-07,112,5,5,,517.0,59.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
5,TAK-438_304,III,GI,530,530,1.0,0.0,100.00%,68.0,0.0,IQVIA,2019-04-12,2019-09-05,146,5,5,,-15.0,29.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146
6,TAK-935-1005,I,NS,9,9,0.0,0.0,100.00%,1.0,1.0,PPD,2016-11-09,2017-01-11,63,5,5,,60.0,28.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,63
7,TAK-418-1001,I,NS,40,40,40.0,2.0,100.00%,1.0,1.0,PRA,2018-05-12,2018-06-07,26,5,5,,247.0,42.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
8,TAK-418-0004,I,NS,16,7,6.0,1.0,43.75%,1.0,0.0,PRA,2020-03-19,2020-11-03,132,5,5,,168.0,-57.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,229
9,Lubiprostone-3001,III,NonCore,204,173,0.0,0.0,84.80%,20.0,0.0,IQVIA,2017-01-23,2017-03-21,57,5,5,,,14.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
10,Lubiprostone-3002,III,NonCore,150,108,21.0,0.0,72.00%,13.0,0.0,IQVIA,2017-02-17,2017-04-21,63,5,5,,,22.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63
11,Lubiprostone-3003,III,NonCore,204,172,0.0,0.0,84.31%,12.0,0.0,IQVIA,2017-06-05,2017-07-28,53,5,5,,,14.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
12,TAK-041-1002,I,NS,12,12,0.0,2.0,100.00%,1.0,1.0,IQVIA,2017-08-24,2017-10-19,56,5,5,,49.0,23.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56
13,TAK-390MR_106,I,GI,40,40,0.0,0.0,100.00%,1.0,0.0,Hangzhou Tigermed Consulting,2018-02-08,2018-03-23,43,5,5,,1211.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
14,TAK-390MR_301,III,GI,450,37,0.0,34.0,8.22%,25.0,0.0,Hangzhou Tigermed Consulting,2017-10-30,2017-11-30,31,5,5,,1211.0,21.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
15,TAK-390MR_302,III,GI,200,217,0.0,12.0,108.50%,20.0,0.0,Hangzhou Tigermed Consulting,2018-04-10,2018-05-11,31,5,5,,1211.0,22.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
16,Alogliptin-1002,I,NonCore,72,72,0.0,4.0,100.00%,1.0,0.0,Atlant,2018-07-13,2018-09-12,61,5,5,,177.0,8.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61
17,VedolizumabSC-1017,I,GI,24,24,0.0,0.0,100.00%,1.0,0.0,Celerion,2018-08-12,2018-09-19,38,5,5,,,20.0,167.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38
18,Esomeprazole-1001,I,GI,52,52,0.0,2.0,100.00%,1.0,0.0,PRA,2017-05-13,2017-06-26,44,5,5,,130.0,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44
19,Vedolizumab-2004,II,GI,17,17,16.0,0.0,100.00%,15.0,0.0,IQVIA,2018-05-09,2018-10-10,154,5,5,,101.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154
20,C16029,III,Oncology,120,122,122.0,0.0,101.67%,117.0,30.0,PPD,2020-03-26,2020-09-04,162,5,5,,,,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162
21,TBD-1-1MYTTL,I,GI,48,0,0.0,0.0,0,1.0,0.0,TBD,2020-04-16,2020-06-16,61,5,5,,126.0,19.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61
22,TAK-935-2001,II,NS,18,18,0.0,4.0,100.00%,10.0,0.0,PRA,2018-10-12,2018-11-02,21,5,5,,170.0,65.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
23,TBD-1-1P9TDT,0,NS,100,0,0.0,0.0,0,3.0,0.0,TBD,2019-12-25,2020-02-19,56,5,5,,63.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56
24,TAK-041-2001,II,NS,23,24,86.0,4.0,104.35%,1.0,1.0,PRA,2019-11-08,2020-02-07,34,5,5,,44.0,6.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,91
25,Vedolizumab-1019,I,GI,190,190,0.0,0.0,100.00%,1.0,0.0,Celerion,2020-07-06,2020-11-04,95,5,5,,170.0,3.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,121
