TRIAL_ID,LSO_CHANGES,DBL_CHANGES,LSO,LSO_INTERIM_2,LSO_INTERIM_3,LSO_INTERIM_4,DBL,DBL_INTERIM_2,DBL_INTERIM_3,DBL_INTERIM_4,THERAPEUTIC_AREA,STUDY_PHASE,STUDY_STATUS,PLANNED_ENROLLMENT,CRO,PA_PS_TIME,PA_FPI_TIME,FPI_LPI_TIME,COUNTRY,ID_COUNT,CLOSE_OUT
0624-209,0,0,6/23/2017,0,0,0,7/27/2017,0,0,0,Plasma Derived Therapy,III,Completed,8,Parexel,69,209,175, Japan,1,34
71102,3,3,3/24/2021,0,0,0,3/24/2021,0,0,0,RGH,III,Execution,34,IQVIA,NULL,465,1166," Austria, Belgium, Canada, Czechia, Denmark, Finland, France, Germany, Italy, Netherlands (the), Norway, Poland, Russian Federation (the), Spain, Sweden, Switzerland, Turkey, Ukraine, United Kingdom of Great Britain and Northern Ireland (the), United States of America (the)",1,0
71301,3,9,9/9/2020,0,0,0,10/22/2020,0,0,0,RGH,III,Completed,22,IQVIA,NULL,469,546," Austria, Belgium, Canada, Czechia, Denmark, Finland, France, Germany, Italy, Netherlands (the), Norway, Russian Federation (the), Spain, Sweden, Switzerland, Turkey, Ukraine, United Kingdom of Great Britain and Northern Ireland (the), United States of America (the)",1,43
91301,0,2,2/28/2020,0,0,0,8/31/2020,0,0,0,Plasma Derived Therapy,IV,Completed,55,Synteract,NULL,338,1203," Austria, Belgium, France, Germany, Hungary, Italy, Netherlands (the), Norway, Poland, Portugal, Russian Federation (the), Spain, Sweden, Turkey, United Kingdom of Great Britain and Northern Ireland (the)",1,185
91501,0,2,3/30/2021,0,0,0,5/11/2021,0,0,0,Plasma Derived Therapy,IIIb,Execution,24,IQVIA,462,376,838," Algeria, Croatia, India, Malaysia, North Macedonia, Poland, Romania, Serbia, South Africa, Thailand, Turkey, Ukraine",1,42
10201806002,5,6,8/25/2020,0,0,0,11/19/2020,0,0,0,Oncology,II,Enrollment Complete,35,MEDISCIENCE PLANNING INC,NULL,125,188, Japan,1,86
10201806004,9,9,2/26/2021,0,0,0,4/23/2021,0,0,0,Oncology,II,Enrollment Complete,32,Takeda PRA Development Center,NULL,123,246, Japan,1,56
10201806006,0,1,3/16/2018,0,0,0,5/24/2018,0,0,0,CNS,III,Closed,492,EPS,NULL,105,978, Japan,1,69
10201806007,1,0,4/13/2018,0,0,0,6/18/2018,0,0,0,CNS,I,Closed,56,MEDISCIENCE PLANNING INC,104,51,0, Japan,1,66
10201806013,1,2,8/4/2019,0,0,0,11/1/2019,0,0,0,Oncology,II,Closed,30,EPS,NULL,91,255, Japan,1,89
10201806014,1,1,3/31/2019,0,0,0,5/29/2019,0,0,0,Oncology,I,In Follow-Up,14,Takeda PRA Development Center,NULL,142,483, Japan,1,59
10201806015,6,12,9/30/2020,0,0,0,10/28/2020,0,0,0,Oncology,I,Closed,9,Takeda PRA Development Center,NULL,94,185, Japan,1,28
10201806022,0,0,4/24/2018,0,0,0,6/18/2018,0,0,0,CVM,III,Closed,107,A2 Healthcare,55,166,575, Japan,1,55
10201806025,0,0,2/26/2018,0,0,0,5/29/2018,0,0,0,GI,III,Closed,484,EPS,225,86,430, Japan,1,92
10201806026,1,1,10/30/2018,0,0,0,1/24/2019,0,0,0,GI,I,Closed,552,MEDISCIENCE PLANNING INC,71,94,209, Japan,1,86
10201806027,5,4,8/13/2019,0,0,0,9/30/2019,0,0,0,Marketed Products,III,Closed,30,MEDISCIENCE PLANNING INC,NULL,171,690, Japan,1,48
10201806029,3,4,6/19/2019,0,0,0,2/3/2020,0,0,0,CNS,I,Closed,40,Takeda PRA Development Center,78,44,215, Japan,1,229
10201806030,0,0,10/7/2017,0,0,0,12/15/2017,0,0,0,GI,I,Closed,24,MEDISCIENCE PLANNING INC,93,91,20, Japan,1,69
10201806033,3,2,9/4/2018,0,0,0,10/12/2018,0,0,0,CNS,I,Closed,101,MEDISCIENCE PLANNING INC,61,70,284, Japan,1,38
10201806038,3,4,9/28/2019,0,0,0,1/9/2020,0,0,0,GI,I,Closed,96,Takeda PRA Development Center,83,75,203, Japan,1,103
10201806040,1,1,2/27/2018,0,0,0,8/16/2018,0,0,0,GI,III,Closed,278,MEDISCIENCE PLANNING INC,NULL,94,635, Japan,1,170
10201806041,3,4,7/4/2019,0,0,0,8/9/2019,0,0,0,GI,III,Closed,110,MEDISCIENCE PLANNING INC,NULL,91,962, Japan,1,36
