,ProtocolNum,ProductName,FullTitle,ProtocolPhase,ProtocolStatus,TA,PlannedEnrollment,ActualEnrollment,ActualScreened,ActualRescreened,ActualScreenFailure,ActualRandomizedDosed,ActualEarlyTerminated,PercEnrollmentCompleted,PlannedSites,ActiveSites,LegacyCompany,CRO,PlannedPrimaryStudy_CompletionDate,ActualPrimaryStudy_CompletionDate,SynopsisActualDate,Protocol_ActualDate,FirstSiteActivated_ActualDate,FSS_ActualDate,FSI_ActualDate,FSFV_ActualDate,LSI_ActualDate,LSI_AvgTx_ActualDate,LSO_ActualDate,LSO_2_ActualDate,LSO_3_ActualDate,LSO_4_ActualDate,LSO_Final_ActualDate,DBL_ActualDate,DBL_2_ActualDate,DBL_3_ActualDate,DBL_4_ActualDate,DBL_Final_ActualDate,CloseOut,numValsLSO,numValsDBL,PrimaryStudy_to_Synopsis,Synopsis_to_Protocol,Protocol_to_FirstSiteActivated,FirstSiteActivated_to_FSS,FSS_to_FSI,FSI_to_FSFV,FSFV_to_LSI,LSI_to_LSIAvgTxL,LSI_to_LSO
0,TAK-071-1002,TAK-071,"A Randomized, Double-Blind, Sponsor Unblinded, Placebo-Controlled, 5-Period Crossover Phase 1b Study To Evaluate The Effects Of Single Oral Administration of TAK-071 On Scopolamine-Induced Cognitive Impairment In Healthy Subjects",I,Terminated,NS,46,18,183,0,165,0,12,39.13%,1,1,0,PPD,0,,2016-05-31,2016-08-08,,2016-11-21,2016-12-05,,2017-06-19,,2017-08-08,,,,,2018-05-24,,,,,289,5,5,,69,,,14,,,,50
7,C16014  Korea Continuation,Ninlaro,"South Korea Continuation Study - A Phase 3, Randomized, Double-Blind, Multicenter Study Comparing Oral MLN9708 Plus Lenalidomide and Dexamethasone Versus Placebo Plus Lenalidomide and Dexamethasone in Adult Patients With Newly Diagnosed Multiple Myeloma",III,Recruitment Complete,Oncology,40,41,60,0,19,0,8,102.50%,11,0,0,PPD,0,,,2015-09-09,,,2016-06-01,,2017-04-05,2019-07-30,2019-12-02,,,,,2020-01-22,,,,,51,5,5,,,,,,,,846,971
9,C34007,TAK-659,C34007 Phase 1 Asian Lymphoma single agent  (40 pts),I,Recruitment Complete,Oncology,22,17,0,0,6,11,0,77.27%,5,0,0,IQVIA,0,,2016-09-22,2017-03-21,,,2017-09-07,,2019-09-25,2020-08-17,2020-08-17,,,,,2020-10-15,,,,,59,5,5,,180,,,,,,327,327
11,TAK-438_115,vonoprazan,"A Phase 1, Double-Blind, Parallel Group Study to Evaluate the Safety and Pharmacokinetics of Quadruple Therapy (Bismuth, Clarithromycin, and Amoxicillin) With TAK-438 Versus Quadruple Therapy With Lansoprazole.",I,Closed,GI,30,30,211,0,181,0,0,100.00%,1,0,0,IQVIA,0,,2013-01-25,2015-12-22,,2016-09-05,2016-09-21,,2017-03-30,,2017-05-11,,,,,2017-05-17,,,,,6,5,5,,1061,,,16,,,,42
14,TAK-438_302,vonoprazan,"A Randomized Double-Blind, Double-Dummy, Phase 3 Study to Evaluate the Efficacy and Safety of Oral TAK-438 20 mg Compared to Lansoprazole 30 mg Once or Twice-Daily in the Treatment of Endoscopically Confirmed Gastric Ulcer Subjects With or Without Helicobacter pylori Infection",III,Terminated,GI,830,236,5,0,114,1,0,28.43%,68,0,0,IQVIA,0,,2012-12-06,2014-05-07,,2017-04-17,2017-06-15,,2020-01-22,,2020-03-17,,,,,2020-07-07,,,,,112,5,5,,517,,,59,,,,55
15,TAK-438_304,vonoprazan,"A Randomized Double-Blind, Double-Dummy, Phase 3 Study to Evaluate the Efficacy and Safety of Oral TAK-438 20 mg Compared to Lansoprazole 30 mg Once- or Twice-Daily in the Treatment of Endoscopically Confirmed Duodenal Ulcer Subjects With or Without Helicobacter pylori Infection",III,All Activities Closed,GI,530,530,3,0,248,1,0,100.00%,68,0,0,IQVIA,0,,2012-12-06,2012-11-21,,2017-04-05,2017-05-04,,2019-01-29,,2019-04-12,,,,,2019-09-05,,,,,146,5,5,,-15,,,29,,,,73
16,TAK-935-1005,soticlestat (TAK-935),A Phase 1 Bioavailability and Food Effect Study to Compare Tablet versus Solution Formulation and to Assess the Effect of  Food on the Bioavailability of a Single TAK-935 Dose in Healthy Subjects,I,Closed,NS,9,9,21,0,12,0,0,100.00%,1,1,0,PPD,0,,2016-04-29,2016-06-28,,2016-09-06,2016-10-04,,2016-10-04,,2016-11-09,,,,,2017-01-11,,,,,63,5,5,,60,,,28,,,,36
17,TAK-418-1001,TAK-418,"A Randomized, Double-Blind, Placebo-Controlled, Ascending Oral Single Dose Trial to Evaluate the Safety, Tolerability, and Pharmacokinetics of TAK-418 in Healthy Subjects",I,Closed,NS,40,40,146,0,106,40,2,100.00%,1,1,0,PRA,0,,2016-08-03,2017-04-07,,2017-06-27,2017-08-08,,2017-11-14,,2018-05-12,,,,,2018-06-07,,,,,26,5,5,,247,,,42,,,,179
20,TAK-418-0004,TAK-418,"A Study Measuring LSD-1 Occupancy in Healthy Adult Volunteers as a Function of TAK-418 Dose, TAK-418 Plasma Concentration and Liquid Biomarker [18F]MNI-1054",I,Terminated,NS,16,7,10,0,3,6,1,43.75%,1,0,0,PRA,0,,2019-07-04,2019-12-19,,2020-03-05,2020-01-08,,2020-03-03,,2020-03-19,,,,,2020-07-29,,,,,132,5,5,,168,,,-57,,,,16
28,Lubiprostone-3001,Amitiza (lubiprostone),"A Phase 3, Multicenter, Randomized, Double-Blind, Parallel-Group, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Lubiprostone for the Treatment of Chronic Idiopathic Constipation",III,Closed,NonCore,204,173,0,0,13,0,0,84.80%,20,0,0,IQVIA,0,,,2015-05-13,,2016-02-17,2016-03-02,,2016-12-06,,2017-01-23,,,,,2017-03-21,,,,,57,5,5,,,,,14,,,,48
29,Lubiprostone-3002,Amitiza (lubiprostone),"A Phase 3, Multicenter, Randomized, Double-Blind, Parallel-Group, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Lubiprostone for the Treatment of Chronic Idiopathic Constipation",III,Closed,NonCore,150,108,0,0,17,21,0,72.00%,13,0,0,IQVIA,0,,,2015-05-14,,2016-04-14,2016-05-06,,2017-01-06,,2017-02-17,,,,,2017-04-21,,,,,63,5,5,,,,,22,,,,42
