Study,Matched Study ID,Did or not,TAU/BU,CRO,Type,Lock Date,Unlock Date,Re-lock Date,Operating model,Reasons,Unlocked Source,Data Category,Process,Study Included in DB Unlock QE (Jul-Dec'19),CAPA or QE?,Comment,
Pevonedistat-  P1014 unlock #1,Pevonedistat-1014,1,Onc Late,PRA,IA,3-May-19,10-May-19,15-May-19,TDOM 2.0,Initial Part A Database lock: 03MAY2019,EDC and SDTM,"Protocol Deviations, SDTM, EDC data",SDTM programming,,QE,No known investigations related to this study.  ,
,Pevonedistat-1014,1,,,,,,,,,,,Data Review/Data Cleaning,,,,
,Pevonedistat-1014,1,,,,,,,,Unlock on 10MAY2019 for the missing DVDECOD value and in Vendor data changing EGTESTCD=’PR’ and EGCAT=”Holter” values of “0” changed to “.”,,,Protocol Deviations,,,,
,Pevonedistat-1014,1,,,,,,,,Re-lock Date: 15MAY2019,,,,,,,
,Pevonedistat-1014,1,,,,,,,,,,,,,,,
TAK954-1007 ,TAK-954-1007,1,GI,PRA EDS,Final,17-Jan-19,26-Aug-19,6-Sep-19,TDOM 1.0,Subject hadn’t received IMP and had to be replaced. ,EDC,To add a replacement subject,Protocol Design,X,,Blinded study. PK data revealed subject had received wrong drug replacement subject needed per sample size calulation. No way to detect through monitoring or DM.,PRA does not consider this an unlock
Pevonedistat-  P1014 unlock #2,Pevonedistat-1014,1,Onc Late,PRA,IA,15-May-19,26-Jun-19,25-Jul-19,TDOM 2.0,Initial Part A Database lock: 03MAY2019,EDC and SDTM,"Protocol Deviations, SDTM, EDC data",SDTM programming,,QE,No known investigations related to this study.  ,
,Pevonedistat-1014,1,,,,,,,,"2nd unlock: 26-Jun-2019 – PK Parameter dataset needs to be created and delivered as part of the IA package. During the unlock/re-lock process, updated lab normal ranges were received from one site, and included in the relock.",,,Data Review/Data Cleaning,,,,
,Pevonedistat-1014,1,,,,,,,,Re-lock date: 25-Jul-2019,,,Protocol Deviations,,,,
TAK659-C34005,C34005,1,Onc Early,PRA ,IA,30-Oct-19,1-Nov-19,,TDOM 1.0,Records with timepoint missing and mapped to unscheduled their visit might fall into the previous cycle,SDTM ,Visit/Cycle,SDTM mapping error,X,,,
MLN0002-2003,MLN0002-2003,1,GI,PRA,IA,8-May-19,1-Jul-19,25-Jul-19,TDOM 1.0,Takeda requested certain Ctrough values be excluded from PP file and same exclusion flag be added to PC file.  Review of TFL shell found that duplicate were generating on the DV outputs due to extra spaces in CTMS Source file. Corrected unit conversions from PPD generated a re-run.,SDTM ,Lab data,Third Party Vendor Management       Data set Programming and QC,X,,,
Brigatinib (ALTA 1L) AP26113-13-301,AP26113-13-301,1,Onc Late,PRA,IA,29-Aug-19,5-Sep-19,20-Sep-19,TDOM 1.0,"Fatal AE not marked as serious, linkage to previous SAE was not correct. Other issues: scan not sent to IMI, apatient erroneously marked withdrawn consent.  Medical and Stats thus performed the patient profile review post lock  identified additional issues. ",EDC,"AE/SAE, Other EDC data",Data Review/Data Cleaning,X,QE,"Studied started by Ariad. Committed with PRA a formal lessons learned (several reasons). Multiple reasons: Turn over in internal study team between IA1 and IA2- new members did not carry forward decisions made by predecessors. The non-serious AE was the first issue raised – this was identified by PRA stats.  In the following 24 hours, 2 additional findings were identified: one patient with unscheduled Spine MRI not sent to IMI, and one patient who had AEs entered after withdrawal of consent.  These are the first 3 issues identified in the unlocking plan.  This led to the identification of additional data issues by Takeda as outlined in the unlocking plan as a result of stats and medical review at Takeda (with some help from DM).  This review was completed 16Sep2019",
TAK834-101,,2,Rare,PRA,Final,12-Jul-19,16-Aug-19,22-Aug-19,CTOM,PK data - there were 2 times and 2 dates in the PRA_EXT_PPD_PD dataset that were incorrect,EDC,PK data,SDV ,X,,SDV error not caught during data review. Change(s) impact the pharmacodynamic conclusions,
Pevonedistat-  P1014 unlock #3,Pevonedistat-1014,1,Onc Late,PRA,IA,25-Jul-19,7-Oct-19,13-Nov-19,TDOM 2.0,Initial Part A Database lock: 03MAY2019,EDC and SDTM,"Protocol Deviations, SDTM, EDC data",SDTM programming,X,QE,No known investigations related to this study.  ,
,Pevonedistat-1014,1,,,,,,,,,,,Data Review/Data Cleaning,,,,
,Pevonedistat-1014,1,,,,,,,,"3rd unlock: 07-Oct-2019- During a medical monitoring meeting, a review and discussion around the protocol deviation classification of “significant” took place. Following the meeting, only 4 of the initial list of 23 significant deviations at Part A lock were considered significant by the Clinical Pharmacology Lead and Oncology Clinical Lead at Takeda. PRA’s CTMS needed to be updated and SDTM regenerated, constituting a trial unlock. After the unlock was decided, 4 additional issues were identified that needed correction, and it was decided to issue queries and resolve the issues.",,,Protocol Deviations,,,,
,Pevonedistat-1014,1,,,,,,,,Re-lock date: 13-Nov-2019 (form signed 11-Nov-19),,,,,,,
TAK659-C34005,C34005,1,Onc Early,PRA,IA,30-Oct-19,13-Dec-19,,TDOM 1.0,TFL review uncovered error in EDC data,EDC,AE,Data Review,X,,,
Pevonedistat - P1012,Pevonedistat-1012,1,Onc Late,PPD,IA,18-Jun-19,1-Nov-19,8-Jan-20,TOP,5 AEs which caused dosing delays do not have action of delayed dose on AE page. There are dosings which were delayed that do not have dosing delayed marked as one of the actions on dosing page.,EDC,AE/SAE,Monitoring,X,CAPA    ,Per CAPA : Inadequate monitoring that CRA failed to identify the issue in eCRF completion by the sites.,
,Pevonedistat-1012,1,,,,,,,,,,,,,,Inadequate drafting & review of eCRF completion guideline not in reference to protocol.,
,Pevonedistat-1012,1,,,,,,,,,,,,,,Japan submission so there will be more scrutiny on the data. Data will be used in ISS.,
,Pevonedistat-1012,1,,,,,,,,,,,,,,,
,Pevonedistat-1012,1,,,,,,,,,,,,,,Corrective action:,
,Pevonedistat-1012,1,,,,,,,,,,,,,,eCRF Guidelines updated.,
,Pevonedistat-1012,1,,,,,,,,,,,,,,Study team and sites retrained.,
,Pevonedistat-1012,1,,,,,,,,,,,,,,One site selected for an AFV to check overall monitoring quality (no issues raised).,
,Pevonedistat-1012,1,,,,,,,,,,,,,,AE/dosing listing review process tightened up.,
,Pevonedistat-1012,1,,,,,,,,,,,,,,Other Pevo studies checked to ensure this was not a cross study error (confirmed not).,
AP24534-14-203 - OPTIC,AP24534-14-203,1,Onc Late,PRA,IA,9-Sep-19,4-Dec-19,17-Jan-20,TDOM 2.0,TFL review uncovered minor programming issues which impacted 9 domains. ICON external data also issues,SDTM ,Lab data,Local Lab parameter recorded measurements,X,QE,Local labs (managed by ICON) (mostly Russian labs) provided “blank” as results for peripheral blood data where measurable values should have been present. If no value then “0” should have been entered instead of leaving blank. Queries were generated to confirm no data existed.,
,AP24534-14-203,1,,,,,,,,,,,,,,,
,AP24534-14-203,1,,,,,,,,,,,,,,Delivery issues with Stats deliverable of trimmed SDTM datasets post re-lock.  Delivered 3 times.,
Pevonedistat-3001 Unlock #1,,2,Onc Late,PPD,IA,19-Dec-19,13-Jan-20,24-Jan-20,TOP,Blast data at screening (SCR BMA) issue was raised by IRC group during review. ,EDC,Lab data,Data Review and Monitoring,X,QE,Blast data results were incorrect in EDC (versus source documentation) and updated as part of the unlock. During the unlock discussion it was also identified that there was a Protocol Deviation error in EDC to be included in update.,
DEN315,DEN-315,1,VBU,PPD,Final,8-May-19,3-Jul-19,25-Jul-19,TOP,Takeda requested SAE Narratives to be stripped out of SDTM.,SDTM ,AE/SAE,SAE Reporting/Data Review,X,,"This is to remove the SAE narrative data from the SDTM/ADaM, but does not affect any EDC data.  The SAE narrative data is operational data for PV, and shouldn’t have been mapped into SDTM by PPD.  ",PPD does not consider this an unlock
DEN301,,2,VBU,PPD,IA,,10-Jul-19,30-Jul-19,TOP,Takeda requested SAE Narratives to be stripped out of SDTM.,SDTM,AE/SAE,SAE Reporting/Data Review,X,,"This is to remove the SAE narrative data from the SDTM/ADaM, but does not affect any EDC data.  The SAE narrative data is operational data for PV, and shouldn’t have been mapped into SDTM by PPD.  ",PPD does not consider this an unlock
DEN314 ,DEN-314,1,VBU,PPD,Final,19-Sep-19,26-Sep-19,2-Oct-19,TOP,Kit damaged so site used 2nd kit. MED ID missing in EDC from an incorrect query generated during IRT reconciliation impacting treatment assignment,EDC,IRT data,IRT Reconciliation ,X,CAPA,There are two med ID records in the YPrime dataset. One mapped to Day 1 (D1) and one mapped to an Unscheduled (UNS) visit. Both have the same dispense date (equal to the D1 Date of Visit in Rave). The kit mapped to D1 was damaged leading to dispense of a second kit which is mapped to an UNS visit. The DM reviewer failed to note the unscheduled visit and incorrectly advised the site to modify. Note that this setup for IRT specs in VBU was different than in non VBU studies.,
Pevonedistat - P2001,Pevonedistat-2001,1,Onc Late,PPD,IA,30-Oct-19,2-Dec-19,12-Feb-20,TOP,"During PPD Biostats review of finalized data, inconsistencies were noted on critical EFS datapoints that could impact CSR.  ",EDC,"Response, DOVs, EOT, Bone Marrow Cyto",Data Review/Data CleaningJ17N17K17:L17I17:L17N17K17:L17H17:L17N17K17:LA17:L17,X,QE,"PPD did update checks to include this issue on this study, and others.",
AP26113-11-101,AP26113-11-101,1,Onc Late,PRA,Final,11-May-20,7-Jul-20,30-Jul-20,TDOM 1.0,"Unlock alignment achieved May 29, 2020 with a derivation issue in the Exposure dataset (SDTM programming error) and a data error in the protocol deviations CTMS data that was pulled into the SDTM DV dataset (protocol deviations management process). Note: PRA was originally scoped to only clean data post-Ariad transition and Ariad database known non-CDISC compliant. As a result of these SDTM unlock findings and confirmation that study is included in submission, Takeda requested thorough evaluation of all patient Exposure data by PRA and pursued robust analysis of SDTM by BioPier. More robust review added Data Cleaning issues in EDC and SDTM mapping issues.",EDC and SDTM,Exposure; Deviations,SDTM program derivations and SDTM mapping; protocol deviations; data cleaning,,,"Due to limitations in legacy Ariad acquired trials, known issue that datasets would never be CDISC-compliant",
TAK438-305 ,TAK-438_305,1,GI,IQVIA,Final,26-Mar-19,23-Aug-19,TBD,TOP,Discrepancies between CRF data and Source data were identified by QC checks ,EDC,Various,Monitoring,X,CAPA,China GCP inspection post-lock idetified approx 200 discrepancies between EDC and source data ,
MLN0002SC-3031,MLN0002SC-3031,1,GI,IQVIA,IA,2-Jul-19,,13-Sep-19,TOP,AE verbatim term of injection site reaction for patient 42005-511 was changed. Other data items fixed during unlock.,EDC,AE/SAE,Data Review,X,,Takeda data review post lock. Other reviews should have picked-this up,
Vedo 4003 ,,2,GMA,IQVIA,Final,20-May-19,,,TOP,PK Labs concentration values opposite to what would be expected - error found to be SDTM mapping.  Database will not be unlocked.,SDTM,PK data,SDTM mapping error,X,IQVIA QI,,
DEN-204,DEN-204,1,VBU,IQVIA,Final,1-Aug-19,,,TOP,IQVIA’s SDTM transfer for DEN-204 was incomplete as some EDC data (Phone contact details) were not mapped. IQVIA has opened a QI.,SDTM ,Phone contact,SDTM mapping error,X,,,"IRT: issue did nt result in db unlock Dummy lot # were included in final transfer. Study needs to be unlocked and unblinded file with lot # to be provided by Cenduit, date TBD."
,DEN-204,1,,,,,,,,,,,,,,,
Pevonedistat-1015,Pevonedistat-1015,1,Onc Late,PRA PR,Final,21-Aug-20,31-Aug-20,11-Sep-20,TDOM 2.0,Error in demographics domain as a result of pulling in scheduled date from exposure data (EC) as opposed to actual dosing data (EX).,SDTM ,DM dataset,SDTM mapping error,,QE,No known investigations related to this study.,
TAK-041-2001,TAK-041-2001,1,Neuro,PRA EDS,Final,12-Dec-19,23-Jan-20,7-Feb-20,TDOM 1.0,TFL review uncovered missing data. Data from SF casebooks not mapped to SDTM,SDTM ,SF data,SDTM mapping error,X,,,
C34007,C34007,1,Onc Early,IQVIA,Final,16-0ct-20,17-Nov-20,25-Nov-20,TOP,SDTM programming code error,SDTM ,PC,Data Review (PK),,,,
TAK-418-0004,TAK-418-0004,1,Neuro,PRA EDS,Final,3-Aug-20,15-Oct-20,3-Nov-20,TDOM 2.0,"Specialized radioactive dosing, site did not enter dosing appropriately. PRA and site have acknowledged lack of experiene with this data and have recommended more customized CRFs and associated documents to reinforce appropriate entry",EDC and SDTM,"EC, EX",Data cleaning,,,,
SHP681-101,,1,GI,IQVIA,Final,,29-May-20,,CTOM,Database unlock to correct villus measurement data due to duplicate records present in source file received from Covance bioanalytical lab.,EDC and SDTM,Villus measurement data,Third Party Vendor Management and Data Review (clinical scientist),,,Due to timing this study was not included in the DB Unlock QI.,
TAK659-C34005,C34005,1,Onc Early,PRA,IA,30-Oct-19,23-Jan-20,,TDOM 1.0,TFL review uncovered missing data. Data from EDC migration not mapped to SDTM,SDTM ,"Disposition (EOT, EOS)",SDTM mapping error,X,,,
TAK-925-1009,TAK-925-1009,1,ECD,Celerion,Final,17-Jan-20,8-Apr-20,,,AESI was not properly flagged in EDC,EDC,AE,Data Cleaning,,QE,,
TAK-925-1009,TAK-925-1009,1,ECD,Celerion,Final,17-Jan-20,12-May-20,,,Subsequent review of data by CRO as mandated by Takeda identified multiple data issues,EDC,Multiple,Data Cleaning,,QE,,
DEN-204,DEN-204,1,VBU,IQVIA,Final,2-Oct-20,,,TOP,Error in aCRF which resulted in hospitalization data not mapped to SDTM as denoted as NOT SUBMITTED. This is considered study-level data and expected to be mapped to SDTM. While the information was not required for CSR analysis it was specifically requested by FDA (CBER) and needed for the eCTD.,SDTM ,SUPPAE dataset,SDTM mapping error,,IQVIA QI,"Per TOP model, the aCRF is not reviewed and approved by the sponsor and is only delivered as part of the post lock analysis package. This has been corrected for TTDOM, which requires the aCRF be delivered as part of the routine SDTM package. Furthermore, the SDTM Oversight Checklist requires all NOT SUBMITTED variables be confirmed by CDS and SQS.",
TAK-925-1013,TAK-925-1013,1,ECD,Celerion,Final,17-Apr-20,9-Sep-20,,Celerion,"The final SDTM needed to preserve all samples drawn, even those that were not analyzed. As this is Clin Pharm study intended to support a critical submission for Neuroscience, Clin Pharm and SQS require this conservative mapping strategy. Also, duplicate PK Urine records were observed in EDC that needed to be removed.","EDC, SDTM",PC,Data Review (PK),,,,
